id,descripcion,hashtags,categoria,categoria_generadora,categoria_secundaria,es_ambiguo,tipo_post,nivel_ruido,etiqueta_ruidosa,entidades
1,plan improvisado: despues del gym cayo MasterChef porque el cuerpo lo pidio random pero necesario,#cocina #partido,deporte,deporte,cocina,True,micro,bajo,False,MasterChef
2,mini update: vuelo temprano con cafe dudoso sin filtros y con prisa 🎸,#gymbro #escapada #top,viajes,viajes,,False,short,alto,False,
3,vuelo temprano con cafe dudoso en Londres con camara,#Travel,viajes,viajes,,False,short,bajo,False,
4,"vibe de hoy: baño rapido antes de comer, que locura jajaja",#Random#Verano,playa,playa,,False,short,alto,False,
5,"vibe de hoy: brisa salada y cero prisa, ns q decir jaja",#sol,playa,playa,,False,short,bajo,False,
6,ebuFrEHS2JpDzfOvz1dOOdTXglHilC2e,#Aesthetic,musica,musica,,False,outlier,alto,False,
7,"vacaciones con musica, playa y maleta medio rota en cadiz, despues de una semana eterna god",#Viajes,viajes,viajes,playa,True,medium,medio,False,
8,ruta corta por carreteras secundarias en Tokio con peaje,,coches,coches,,False,short,bajo,False,Tokio
9,estoy living vibe de hoy: stream de PlayStation con playlist de Quevedo y chat imposible que locura!!!,#FIFA #Pop,videojuegos,videojuegos,musica,True,short,medio,False,PlayStation | Quevedo | FIFA
10,"comida snecilla despues del gimnasio, bro esto esta increible jajaja",#Gym,deporte,deporte,,False,micro,medio,False,
11,domingo raro y mision secundaria mas interesante que la principal mientras cae la tarde...,#gamer,videojuegos,videojuegos,,False,short,bajo,False,
12,"entreno corto pero intenso, random pero necesario",#Padel #Fitness,deporte,deporte,,False,micro,bajo,False,
13,"nadie me preparo para ruta larga con el Mercedes, maleta atras y cero ganas de llegar me renta demasiado 💀",#Vibes #Cars,viajes,viajes,coches,True,short,medio,False,Mercedes
14,"setup medio ordenado para variar cerca de Ibiza. porque a veces sale bien sin pensarlo, Twitch de fondo y me renta demasiado",#GTA #Twitch,videojuegos,videojuegos,,False,medium,alto,False,Twitch | Ibiza | GTA
15,domingo raro y partido del Nike con musica a tope antes de salir asi si,,deporte,deporte,musica,True,short,bajo,False,Nike
