id,descripcion,hashtags,categoria,categoria_generadora,categoria_secundaria,es_ambiguo,tipo_post,nivel_ruido,etiqueta_ruidosa,entidades
108,random vibe de hoy: perro mirando la comida con demasiada fe; luego porque a veecs sale bien sin pensarlo y acabamos hablando de Luna 🔥,#PetFriendly,animales,animales,,False,medium,alto,False,Luna
5485,"despues de mil vueltas, zapatillas en el maletero y plan de ultima hora muy de hoy 🚗",#Garaje #Racing #Entreno,coches,coches,deporte,True,short,medio,False,
6999,domingo raro y chiringuito lleno pero la musica estaba increible asi y bueno,#costa #festival,playa,playa,musica,True,short,medio,False,
3985,nadie me preparo para escapada express con maleta pequeña en Cadiz con maleta; con ganas de repetir y,#Top #Viajes,viajes,viajes,,False,medium,medio,False,
3112,me desperte pensando en esto: cancion triste para un plan feliz con una playlist random de fondo no puedo mas 🍜,#live,musica,musica,,False,short,alto,False,
4041,literal viaje de finde para ver atardecer junto al mar en Gran Canaria,#Atardecer,playa,playa,viajes,True,short,bajo,False,
3014,"betis y arroz, ns q decir jaja random ☀️ xd",#random,deporte,deporte,,False,micro,medio,False,Betis
6608,"no se como explicar esto pero stream de minecraft con playlist de aitana y chat imposible, mientras cae la tarde asi si xd ⚽",#Pop #Friends #FIFA #Urbano,videojuegos,videojuegos,musica,True,medium,medio,False,Minecraft | Aitana | FIFA
4220,"Amsterdam aparecio en el plan: escapada express con maleta pequeña, con ganas de repetir, camara incluido ⚽",#planazo,viajes,viajes,,False,medium,alto,False,Amsterdam
8751,"hoy tocaba foto borrosa pero momento perfecto, que locura",#Gatos#Adopta,animales,animales,,False,short,bajo,False,
5666,"bmw aparecio en el plan: prueba de conduccion con lluvia, con ganas de repetir, neumaticos incluido; tambien road trip sin ruta cerrada 🔥",#roadtrip,coches,coches,viajes,True,medium,medio,False,BMW
9226,estoy living Champions: comida sencilla despues del gimnasio y ns q decir JAJA,,deporte,deporte,,False,short,bajo,False,Champions
7069,"despues de mil vueltas, al partido en BMW literalmente obsesionado ✨",,coches,coches,deporte,True,micro,medio,False,BMW
9224,"si esto no es felicidad entonces nada ruta hasta el estadio con camiseta del Champions y lluvia, porque a veces sale bien sin pensarlo no pido mas 🚗",,deporte,deporte,coches,True,medium,medio,False,Champions
2418,"noche de mando, Discord y tema nuevo de Bizarrap bro esto esta increible 🐱",#spotify,musica,musica,videojuegos,True,short,alto,False,Bizarrap | Spotify
3592,"plan improvisado: al partido en Seat Leon, aparcando lejos como siempre, mientras cae la tarde bro esto esta increible jajaja",#cafe #futbol,coches,coches,deporte,True,medium,bajo,False,Seat Leon
10627,"mini update: atardecer en la costa y playlist de spotify en bucle, con una playlist random de fondo god modo chill ✨",#Temazo #Costa #Sol #Pop,playa,playa,musica,True,medium,alto,False,Spotify
2774,"si esto no es felicidad entonces nada ruta larga con el Mercedes, maleta atras y cero ganas de llegar bro esto esta increible modo chill 🏋️",#Viajes #RoadTrip #Racing #Cars,coches,coches,viajes,True,short,bajo,False,Mercedes
6383,"literalmente escapada express con maleta pequeña. Entre coche, mensajes sin responder y Paris, el plan quedo raro pero muy de hoy; tambien parking lleno y aun asi foto",#viajes,viajes,viajes,coches,True,long,bajo,False,Paris
158,nadie me preparo para viaje corto y cena de MasterChef en un sitio que nadie conocia bro esto esta increible,#sabor,cocina,cocina,viajes,True,short,bajo,False,MasterChef
7421,"plan improvisado: partido del NBA y cena improvisada en casa, entre risas y cero cobertura asi si ✨ xd",#Workout #Friends,deporte,deporte,cocina,True,medium,bajo,False,NBA
744,"que fantasía despues de mil vueltas, chiringuito lleno pero la musica estaba increible, sin planear demasiado top",,musica,musica,playa,True,medium,medio,False,
7104,"plan improvisado: escapada improvisada con correa, snacks y cero organizacion. no encaja perfecto en una sola categoria, porue mezcla animales, viajes y un poco de vida real. bro esto esta increible",#CatLife #Hoy #Wanderlust,animales,animales,viajes,True,long,medio,False,
8691,nadie me preparo para festival en ibiza con maleta pqueña y cero sueño bro esto esta no se,#musica,musica,musica,viajes,True,micro,alto,False,Ibiza
7334,"series de carrera con poca fe cerca de ibiza. mientras cae la tarde, barça de fondo y ns q decir jaja",,deporte,deporte,,False,medium,alto,False,Barça | Ibiza
7900,entreno corto pero intenso en zaragoza con polllo bro 🚗,#Running,deporte,deporte,,False,short,alto,False,
1226,foto borrosa pero momento perfecto en maspalomas con coche ✈️,,viajes,animales,,False,short,alto,True,Maspalomas
1112,"no se como explicar esto pero running suave mientras suena aitana, plan raro pero funciona, mientras cae la tarde ns q decir jaja xd",,deporte,deporte,musica,True,medium,alto,False,Aitana
1026,plan improvisado: mercado lcoal literalmente obsesionado,,cocina,cocina,viajes,True,micro,alto,False,
8204,dmingo raro y viaje no se!!!,#Escapada,viajes,viajes,cocina,True,short,alto,False,
4017,"interior limpio por primera vez en meses cerca de Asturias. en modo desconectar, Tesla de fondo y 😂",#carlife,coches,coches,,False,medium,alto,False,Tesla
4324,Berlin: mapa abierto y cero orientacion y me renta demasiado full 🕹️,#vibes #viajes,viajes,viajes,,False,short,alto,False,Berlin
4503,"vibe de hoy: festival en maspalomas con maleta pequeña y cero sueño. no encaja perfecto en una sola categoria, porque mezcla musica, viajes y un poco de vida real. top 🎮",,musica,musica,viajes,True,long,alto,False,Maspalomas
10805,si esto no es felicidad entonces nada nba y bueno,,deporte,deporte,,False,micro,alto,False,NBA
5727,se tenia que decir nadie me preparo para nba,#Entreno,deporte,deporte,,False,micro,alto,False,NBA
9008,ruta pet friendly con parada para cafe en palencia con coche; tambien bano rapido antes de comer full 🐶,#mar,animales,animales,playa,True,short,alto,False,
