palabra,frecuencia
plan,2129
hoy,2002
random,1765
despues,1688
fondo,1166
cero,1089
literalmente,1075
top,1073
playlist,1070
demasiado,1026
jaja,1004
raro,961
musica,956
update,887
domingo,878
cafe,843
playa,838
paseo,828
asi,826
ruta,820
bro,806
decir,793
modo,792
renta,788
luego,755
porque,751
tarde,749
prisa,726
costa,687
mientras,677
tocaba,651
acabamos,644
nadie,640
escapada,637
increible,632
pido,627
god,621
improvisado,614
locura,614
cerca,608
atardecer,606
real,604
mini,601
desperte,582
explicar,582
pensando,576
mil,575
vueltas,571
ganas,563
necesario,559
maleta,558
nada,549
obsesionado,548
preparo,545
vibe,543
eterna,540
felicidad,539
entonces,537
viaje,535
aparecio,525
